LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NapA,Root | SP|P39185|NAPA_ALCEU/2-831
1024_NapA,Pseudomonas stutzeri NF13 | 1212548.B381_16138
1025_NapA,Pseudomonas stutzeri KOS6 | 1218352.B597_015560
1026_NapA,Pseudomonas stutzeri MF28 | 1333856.L686_12700
1027_NapA,Pseudomonas stutzeri TS44 | 477228.YO5_14640
1028_NapA,Pseudomonas syringae pv. tomato str. DC3000 | 223283.PSPTO_2301
1029_NapA,Pseudomonas taeanensis MS-3 | 1395571.TMS3_0113500
1030_NapA,Salinisphaera hydrothermalis C41B8 | 1304275.C41B8_04241
1031_NapA,Salinisphaera shabanensis E1L3A | 1033802.SSPSH_000230
1032_NapA,Thiotrichales | tr|A0A7C5GLW5|A0A7C5GLW5_9GAMM
1033_NapA,Thiotrichales | tr|A0A836W962|A0A836W962_9GAMM
1034_NapA,Cycloclasticus zancles 78-ME | 1198232.CYCME_1769
1035_NapA,Hydrogenovibrio crunogenus XCL-2 | 317025.Tcr_1159
1036_NapA,Hydrogenovibrio kuenenii DSM 12350 | 1168067.JAGP01000001_gene1365
1037_NapA,Methylophaga aminisulfidivorans MP | 1026882.MAMP_00158
1038_NapA,Methylophaga frappieri | 754477.Q7C_1065
1039_NapA,Methylophaga lonarensis MPL | 1286106.MPL1_10507
1040_NapA,Methylophaga nitratireducenticrescens | 754476.Q7A_2619
1041_NapA,Thiomicrorhabdus arctica DSM 13458 | 1123514.KB905900_gene2130
1042_NapA,Thiomicrorhabdus sp. Kp2 | 1123518.ARWI01000001_gene2331
1043_NapA,Thiomicrospira aerophila AL3 | 717772.THIAE_05055
1044_NapA,Thiomicrospira cyclica ALM1 | 717773.Thicy_0784
1045_NapA,Thiofilum flexile DSM 14609 | 1123400.KB904769_gene2749
1046_NapA,Thiotrichaceae | tr|A0A836WII4|A0A836WII4_9GAMM
1047_NapA,Beggiatoa alba B18LD | 395493.BegalDRAFT_1381
1048_NapA,Beggiatoa alba B18LD | 395493.BegalDRAFT_2365
1049_NapA,Beggiatoa sp. PS | tr|A7BUA3|A7BUA3_9GAMM
1050_NapA,Leucothrix mucor DSM 2157 | 998674.ATTE01000001_gene3728
1051_NapA,Candidatus Thiomargarita nelsonii | tr|A0A0A6NZT6|A0A0A6NZT6_9GAMM
1052_NapA,Thiothrix lacustris DSM 21227 | 1123401.JHYQ01000035_gene3489
1053_NapA,Thiothrix nivea DSM 5205 | 870187.Thini_1248
1054_NapA,Thiothrix nivea DSM 5205 | 870187.Thini_2589
1055_NapA,Enterovibrio calviensis 1F-211 | 1190606.AJYG01000077_gene4129
1056_NapA,Enterovibrio norvegicus FF-33 | 1190603.AJYD01000037_gene1383
1057_NapA,Grimontia hollisae CIP 101886 | 675812.VHA_002884
1058_NapA,Grimontia indica | 1056512.D515_02643
1059_NapA,Photobacterium angustum S14 | 314292.VAS14_10319
1060_NapA,Photobacterium aphoticum | 754436.JCM19237_6666
1061_NapA,Photobacterium aquae | tr|A0A0J1H639|A0A0J1H639_9GAMM
1062_NapA,Photobacterium gaetbulicola | tr|A0A0C5W4T1|A0A0C5W4T1_9GAMM
1063_NapA,Photobacterium leiognathi subsp. mandapamensis svers.1.1. | 1001530.BACE01000027_gene599
1064_NapA,Photobacterium phosphoreum ANT-2200 | 1454202.PPBDW_131106___1
1065_NapA,Photobacterium profundum SS9 | 298386.PBPRA2030
1066_NapA,Photobacterium profundum SS9 | 298386.PBPRA2525
1067_NapA,Photobacterium profundum SS9 | 298386.PBPRB0650
1068_NapA,Vibrio atlanticus LGP32 | 575788.VS_II1026
1069_NapA,Vibrio brasiliensis LMG 20546 | 945543.VIBR0546_13605
1070_NapA,Vibrio breoganii 1C10 | 1205908.AKXW01000121_gene231
1071_NapA,Vibrio coralliilyticus ATCC BAA-450 | 675814.VIC_002900
1072_NapA,Vibrio cyclitrophicus FF75 | 1136163.M565_ctg5P0407
1073_NapA,Vibrio diazotrophicus NBRC 103148 | 1348635.BBJY01000004_gene2970
1074_NapA,Vibrio ezurae NBRC 102218 | 1219080.VEZ01S_26_00210
1075_NapA,Vibrio halioticoli NBRC 102217 | 1219072.VHA01S_037_00170
1076_NapA,Vibrio navarrensis | 29495.EA26_07430
1077_NapA,Vibrio nigripulchritudo SOn1 | 1238450.VIBNISOn1_1340004
1078_NapA,Vibrio orientalis CIP 102891 = ATCC 33934 | 675816.VIA_000987
1079_NapA,Vibrio parahaemolyticus RIMD 2210633 | 223926.28809366
1080_NapA,Vibrio proteolyticus NBRC 13287 | 1219065.VPR01S_07_00290
1081_NapA,Vibrio rumoiensis 1S-45 | 1188252.AJYK01000106_gene2053
1082_NapA,Vibrio scophthalmi LMG 19158 | 870967.VIS19158_10754
1083_NapA,Vibrio sinaloensis DSM 21326 | 945550.VISI1226_01220
1084_NapA,Vibrio sp. E4404 | tr|A0A2U3B8Z2|A0A2U3B8Z2_9VIBR
1085_NapA,Vibrio sp. EJY3 | 1116375.VEJY3_18691
1086_NapA,Vibrio sp. ER1A | 1517681.HW45_21935
1087_NapA,Vibrio sp. JCM 18905 | tr|A0A829TJ52|A0A829TJ52_9VIBR
1088_NapA,Vibrio sp. qd031 | tr|A0A1X1MYP8|A0A1X1MYP8_9VIBR
1089_NapA,Vibrio vulnificus | 672.VV93_v1c38950
1090_NapA,Xanthomonadales | tr|A0A2H0HTL7|A0A2H0HTL7_9GAMM
1091_NapA,Xanthomonadales | tr|A0A2M7D1G8|A0A2M7D1G8_9GAMM
1092_NapA,Dyella sp. AtDHG13 | tr|A0A318DWT7|A0A318DWT7_9GAMM
1093_NapA,Rhodanobacter fulvus Jip2 | 1163408.UU9_06309
1094_NapA,Rudaea cellulosilytica DSM 22992 | 1123073.KB899241_gene2668
1095_NapA,Xanthomonadaceae | tr|A0A7X7PUN4|A0A7X7PUN4_9GAMM
1096_NapA,Luteimonas sp. J29 | 935863.AWZR01000004_gene587
1097_NapA,Luteimonas sp. JM171 | tr|A0A1B3W609|A0A1B3W609_9GAMM
1098_NapA,Lysobacter antibioticus | 84531.JMTZ01000037_gene3561
1099_NapA,Lysobacter sp. Alg18-2.2 | tr|A0A5C8KUY3|A0A5C8KUY3_9GAMM
1100_NapA,Pseudoxanthomonas suwonensis 11-1 | 743721.Psesu_0374
1101_NapA,Pseudoxanthomonas suwonensis 11-1 | 743721.Psesu_0379
1102_NapA,Pseudoxanthomonas suwonensis J43 | 935567.JAES01000002_gene703
1103_NapA,Rehaibacterium terrae | tr|A0A7W8DDA9|A0A7W8DDA9_9GAMM
1104_NapA,Xanthomonas cassavae CFBP 4642 | 1219375.CM002139_gene2066
1105_NapA,Xanthomonas translucens DAR61454 | 1205753.A989_11004
1106_NapA,Hydrogenophilales | tr|A0A2M7MU82|A0A2M7MU82_9PROT
1107_NapA,Hydrogenophilaceae | tr|A0A1J4Z0H6|A0A1J4Z0H6_9PROT
1108_NapA,Halobacteriovorax sp. | tr|A0A2E6H697|A0A2E6H697_9PROT
1109_NapA,Ghiorsea bivora | 1485545.JQLW01000005_gene897
1110_NapA,Thermodesulfatator indicus | tr|F8AE26|F8AE26_THEID
1111_NapA,Coraliomargarita akajimensis | tr|D5EKZ1|D5EKZ1_CORAD
1112_NapA,Aspergillus flavus | tr|B8N2S2|B8N2S2_ASPFN
1113_NapA,Aspergillus homomorphus | tr|A0A395HPR1|A0A395HPR1_ASPHC
1114_NapA,Emericella nidulans (Aspergillus nidulans) | tr|Q5ARP3|Q5ARP3_EMENI
1115_NapA,Neosartorya fumigata (Aspergillus fumigatus) | tr|Q4WZ36|Q4WZ36_ASPFU
1116_NapA,Byssochlamys spectabilis (Paecilomyces variotii) | tr|A0A443I3H2|A0A443I3H2_BYSSP
1117_NapA,Fusarium oxysporum (Fusarium vascular wilt) | tr|A0A420NC20|A0A420NC20_FUSOX
